Siperfaqe Totale,Siperfaqe e Brendshme,Dhoma Gjumi,Kati,Statusi,Lloji,Mobiluar,Shikime,Hipoteka,Gjendja,Qera,Cmimi_per_m2,Vendndodhja,Cmimi_Real,Parashikim
96.0,78.0,1.0,2,Listimet e fundit,Apartament,E pa mobiluar,1513.0,Në proces certifikimi,Në dispozicion,jo,3798.1875,Vlorë - Rr. Bregdet Jale,364626.0,351175.1916666667
71.0,55.0,1.0,1,Në ndërtim,Apartament,E pa mobiluar,64.0,Në proces certifikimi,Në dispozicion,jo,1661.9718309859154,Sarandë - Rruga Butrinti,118000.0,118244.59147635696
65.0,56.0,1.0,1,Në ndërtim,Apartament,E pa mobiluar,423.0,Në proces certifikimi,Në dispozicion,jo,906.9230769230769,Durrës - ,58950.0,58044.691695641086
82.0,73.0,2.0,6,I Perdorur,Apartament,Plotesisht i mobiluar,714.0,Po,Në dispozicion,jo,1353.658536585366,Durrës - ,111000.0,113331.27483333334
750.0,375.0,5.0,,I Perdorur,Vile,E pa mobiluar,558.0,Po,Në dispozicion,jo,733.3333333333334,Tirana - Rruga e Agallareve,550000.0,494911.5
128.0,109.0,2.0,3,Listimet e fundit,Apartament,E pa mobiluar,1261.0,Jo,Në dispozicion,jo,1460.9375,Tirana - ,187000.0,186304.78663095238
231.0,197.0,1.0,3,I Perdorur,Tjeter,E pa mobiluar,634.0,Po,Në dispozicion,jo,2813.852813852814,Tirana - ,650000.0,637889.69
280.0,93.0,2.0,2,I Perdorur,Vile,Gjysme i mobiluar,1183.0,Po,Në dispozicion,jo,928.5714285714286,Tirana - ,260000.0,258206.44345238098
111.0,93.0,2.0,3,Në ndërtim,Apartament,E pa mobiluar,258.0,Jo,Në dispozicion,jo,1255.4054054054054,Durrës - Golem,139350.0,139051.56527401763
64.0,52.0,1.0,3,Listimet e fundit,Apartament,E pa mobiluar,199.0,Në proces certifikimi,Në dispozicion,jo,1001.5625,Durrës - ,64100.0,64206.77418960891
112.0,99.0,2.0,3,Listimet e fundit,Apartament,E pa mobiluar,832.0,Jo,Në dispozicion,jo,2142.8571428571427,Durrës - WHITE HILL RESIDENCE CURRILA,240000.0,241215.25761904765
140.0,140.0,5.0,2,I Perdorur,Tjeter,E pa mobiluar,470.0,Po,Në dispozicion,po,10.714285714285714,Tirana - Rruga Vaso Pasha,1500.0,1517.1537375620185
79.0,64.0,1.0,1,Listimet e fundit,Apartament,E pa mobiluar,321.0,Në proces certifikimi,Në dispozicion,jo,1002.5316455696203,Durrës - ,79200.0,79275.9562957613
112.0,97.0,2.0,3,Në ndërtim,Apartament,E pa mobiluar,573.0,Jo,Në dispozicion,jo,928.5714285714286,Tirana - ,104000.0,103654.67703310958
105.0,91.0,2.0,3,I Perdorur,Apartament,E pa mobiluar,463.0,Jo,Në dispozicion,jo,1100.4190476190477,Tirana - ,115544.0,115113.72217258273
86.0,74.0,2.0,1,Në ndërtim,Apartament,E pa mobiluar,191.0,Jo,Në dispozicion,jo,1278.8372093023256,Durrës - Qerret,109980.0,110644.95169318182
116.0,116.0,2.0,1,Listimet e fundit,Apartament,Gjysme i mobiluar,174.0,Po,Në dispozicion,po,10.344827586206897,Tirana - sauk,1200.0,1213.6063062333983
106.0,92.0,2.0,2,Në ndërtim,Apartament,E pa mobiluar,470.0,Jo,Në dispozicion,jo,952.8301886792453,Tirana - Rruga Lidhja e Prizrenit,101000.0,100022.75840701356
140.0,120.0,2.0,5,I Perdorur,Apartament,Plotesisht i mobiluar,211.0,Po,Në dispozicion,po,9.285714285714286,Tirana - ,1300.0,1322.8689343797719
96.0,96.0,2.0,5,I Perdorur,Apartament,E pa mobiluar,357.0,Në proces certifikimi,Në dispozicion,jo,1614.5833333333333,Tirana - Zogu i Zi,155000.0,156150.32521645023
